clave_estado,estres_hidrico,dma_promedio_hm3,acuiferos_sobreexplotados,total_acuiferos,tasa_pobreza,tasa_pobreza_extrema,rezago_educativo,escolaridad_promedio,indice_marginacion,fecundidad_adolescente,feminicidio_tasa,total_docentes,total_grupos,total_alumnos,ratio_docentes_grupo,docentes_por_alumno,acceso_agua_diaria,acceso_drenaje,violencia_mujeres,horas_domestico_mujeres,horas_domestico_hombres,brecha_trabajo_domestico,brecha_salarial_genero,participacion_laboral_femenina,coeficiente_gini,concentracion_ingreso_top10,nombre_estado
01,1.0,-26.851,5,5,0.23722319793100002,0.017586341219,0.16499755361500001,10.3491,22.2057208476961,73.82529937389825,0.3101,16719,12379,349851,1.3506,0.047789,0.993314,0.992583,72.82,3.6951,2.4679,1.2273,-0.070082,0.442164,0.3951,0.322609,Aguascalientes
02,0.3478,-12.011,16,46,0.133708195012,0.013059022007000001,0.155469917573,10.2027,21.3802974064342,62.50816118670184,0.1057,41410,30043,822849,1.3784,0.050325,0.976813,0.962702,69.18,4.554,3.066,1.488,0.038179,0.483033,0.4212,0.276074,Baja California
03,0.5641,-2.287,22,39,0.133290309239,0.007617166376000001,0.141839268163,10.3425,21.4733879221918,69.02762936956191,0.2364,9458,7620,185097,1.2412,0.051098,0.94471,0.968691,63.28,4.4283,3.4212,1.0071,0.064523,0.569569,0.4314,0.290157,Baja California Sur
04,0.0,306.461,0,1,0.45129443845899997,0.09642956335800001,0.203119739766,9.6251,17.8050514011252,79.17179948829715,0.1961,10880,9410,217703,1.1562,0.049976,0.955438,0.944028,66.99,4.575,3.4767,1.0983,-0.035152,0.462498,0.4682,0.323981,Campeche
05,0.6786,-15.903,19,28,0.18243321687000003,0.017962000921,0.134530474176,10.432,22.5456842732846,94.30499644802272,0.1258,34971,27970,753169,1.2503,0.046432,0.988046,0.985237,72.27,3.6805,2.9694,0.7111,-0.004534,0.484209,0.3928,0.286561,Coahuila
06,0.3636,0.762,4,11,0.205471669479,0.0121161731,0.156372697168,10.0467,21.5323285027483,67.53141719547094,0.5128,9712,7253,162767,1.339,0.059668,0.989741,0.992329,73.85,5.781,2.8847,2.8963,0.103777,0.549153,0.4015,0.271166,Colima
07,0.0,196.55,0,15,0.6737082989200001,0.282124525744,0.31106865473,7.7832,11.9986541656442,84.84599468795396,0.1374,65234,67724,1600813,0.9632,0.040751,0.895944,0.910071,48.72,4.5392,4.1315,0.4077,-0.296419,0.338289,0.4694,0.326938,Chiapas
08,0.623,-43.253,38,61,0.17572199226800003,0.020961413203,0.160886351221,9.9969,20.015271426362,73.65625869515247,0.2088,39182,33900,873801,1.1558,0.044841,0.982554,0.965104,70.96,3.6682,2.0472,1.621,-0.005323,0.483292,0.4421,0.347519,Chihuahua
09,1.0,-480.43,1,1,0.23967605383600002,0.017126320153000002,0.096995338497,11.482,23.1431092825321,47.82794301297245,0.127,104358,86850,2033000,1.2016,0.051332,0.98821,0.997143,76.23,4.3127,2.8479,1.4648,0.062671,0.514502,0.4468,0.331671,Ciudad de México
10,0.4138,-1.357,12,29,0.34311066869,0.06301990093700001,0.178679746642,9.7461,18.4727395817054,66.3116612096571,0.1053,24904,22571,460735,1.1034,0.054053,0.978278,0.947279,69.15,4.0463,3.363,0.6833,-0.005192,0.475267,0.4521,0.276922,Durango
